Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"selectOptionByValue(findTestObject(""hitungHarga/jangkaWaktu""), tahun, false)",Chrome 127.0.0.0,,,22-08-2024 17:23:24,22-08-2024 17:23:26,1.991s,PASSED
"value = getAttribute(findTestObject(""hitungHarga/selectJangkaWaktu""), ""tahun"")",Chrome 127.0.0.0,,,22-08-2024 17:23:26,22-08-2024 17:23:27,0.336s,PASSED
bulanInt = Integer.valueOf(tahun),Chrome 127.0.0.0,,,22-08-2024 17:23:27,22-08-2024 17:23:27,0.002s,PASSED
pengeluaranInt = Integer.valueOf(pengeluaran),Chrome 127.0.0.0,,,22-08-2024 17:23:27,22-08-2024 17:23:27,0.002s,PASSED
penghasilanInt = Integer.valueOf(penghasilan),Chrome 127.0.0.0,,,22-08-2024 17:23:27,22-08-2024 17:23:27,0.001s,PASSED
if (penghasilanInt <= pengeluaranInt),Chrome 127.0.0.0,,,22-08-2024 17:23:27,22-08-2024 17:23:27,0.667s,PASSED
println(hitung),Chrome 127.0.0.0,,,22-08-2024 17:23:27,22-08-2024 17:23:27,0.004s,PASSED
"scrollToElement(findTestObject(""hitungHarga/pengeluaran""), 0)",Chrome 127.0.0.0,,,22-08-2024 17:23:27,22-08-2024 17:23:28,0.311s,PASSED
"verifyElementClickable(findTestObject(""hitungHarga/buttonHitung""))",Chrome 127.0.0.0,,,22-08-2024 17:23:28,22-08-2024 17:23:28,0.682s,FAILED
,,,,,,,
Test Cases/hitungProperti,Chrome 127.0.0.0,,,22-08-2024 17:23:28,22-08-2024 17:24:04,35.670s,PASSED
"openBrowser(""https://www.btnproperti.co.id/tools/hitung-harga-properti"")",Chrome 127.0.0.0,,,22-08-2024 17:23:28,22-08-2024 17:23:33,4.115s,PASSED
maximizeWindow(),Chrome 127.0.0.0,,,22-08-2024 17:23:33,22-08-2024 17:23:33,0.115s,PASSED
"setText(findTestObject(""hitungHarga/penghasilanTotal""), penghasilan)",Chrome 127.0.0.0,,,22-08-2024 17:23:33,22-08-2024 17:23:55,22.280s,PASSED
takeFullPageScreenshot(),Chrome 127.0.0.0,,,22-08-2024 17:23:55,22-08-2024 17:23:56,1.310s,PASSED
"setText(findTestObject(""hitungHarga/pengeluaran""), pengeluaran)",Chrome 127.0.0.0,,,22-08-2024 17:23:56,22-08-2024 17:23:59,2.928s,PASSED
takeFullPageScreenshot(),Chrome 127.0.0.0,,,22-08-2024 17:23:59,22-08-2024 17:24:00,0.953s,PASSED
"selectOptionByValue(findTestObject(""hitungHarga/jangkaWaktu""), tahun, false)",Chrome 127.0.0.0,,,22-08-2024 17:24:00,22-08-2024 17:24:01,0.786s,PASSED
"value = getAttribute(findTestObject(""hitungHarga/selectJangkaWaktu""), ""tahun"")",Chrome 127.0.0.0,,,22-08-2024 17:24:01,22-08-2024 17:24:01,0.300s,PASSED
bulanInt = Integer.valueOf(tahun),Chrome 127.0.0.0,,,22-08-2024 17:24:01,22-08-2024 17:24:01,0.001s,PASSED
pengeluaranInt = Integer.valueOf(pengeluaran),Chrome 127.0.0.0,,,22-08-2024 17:24:01,22-08-2024 17:24:01,0.000s,PASSED
penghasilanInt = Integer.valueOf(penghasilan),Chrome 127.0.0.0,,,22-08-2024 17:24:01,22-08-2024 17:24:01,0.001s,PASSED
if (penghasilanInt <= pengeluaranInt),Chrome 127.0.0.0,,,22-08-2024 17:24:01,22-08-2024 17:24:01,0.001s,PASSED
else,Chrome 127.0.0.0,,,22-08-2024 17:24:01,22-08-2024 17:24:01,0.002s,PASSED
println(hitung),Chrome 127.0.0.0,,,22-08-2024 17:24:01,22-08-2024 17:24:01,0.001s,PASSED
"scrollToElement(findTestObject(""hitungHarga/pengeluaran""), 0)",Chrome 127.0.0.0,,,22-08-2024 17:24:01,22-08-2024 17:24:02,0.368s,PASSED
"verifyElementClickable(findTestObject(""hitungHarga/buttonHitung""))",Chrome 127.0.0.0,,,22-08-2024 17:24:02,22-08-2024 17:24:02,0.394s,PASSED
"click(findTestObject(""hitungHarga/buttonHitung""))",Chrome 127.0.0.0,,,22-08-2024 17:24:02,22-08-2024 17:24:02,0.369s,PASSED
takeFullPageScreenshot(),Chrome 127.0.0.0,,,22-08-2024 17:24:02,22-08-2024 17:24:03,0.988s,PASSED
"harga = getText(findTestObject(""hitungHarga/harga""))",Chrome 127.0.0.0,,,22-08-2024 17:24:03,22-08-2024 17:24:04,0.315s,PASSED
"harga = replace(""Rp "", """").replace(""."", """")",Chrome 127.0.0.0,,,22-08-2024 17:24:04,22-08-2024 17:24:04,0.002s,PASSED
hargaInt = Integer.valueOf(harga),Chrome 127.0.0.0,,,22-08-2024 17:24:04,22-08-2024 17:24:04,0.002s,PASSED
println(hargaInt),Chrome 127.0.0.0,,,22-08-2024 17:24:04,22-08-2024 17:24:04,0.002s,PASSED
assert hitung == hargaInt,Chrome 127.0.0.0,,,22-08-2024 17:24:04,22-08-2024 17:24:04,0.001s,PASSED
closeBrowser(),Chrome 127.0.0.0,,,22-08-2024 17:24:04,22-08-2024 17:24:04,0.367s,PASSED
,,,,,,,
Test Cases/hitungProperti,Chrome 127.0.0.0,,,22-08-2024 17:24:04,22-08-2024 17:24:38,33.691s,FAILED
"openBrowser(""https://www.btnproperti.co.id/tools/hitung-harga-properti"")",Chrome 127.0.0.0,,,22-08-2024 17:24:04,22-08-2024 17:24:08,4.057s,PASSED
maximizeWindow(),Chrome 127.0.0.0,,,22-08-2024 17:24:08,22-08-2024 17:24:08,0.198s,PASSED
"setText(findTestObject(""hitungHarga/penghasilanTotal""), penghasilan)",Chrome 127.0.0.0,,,22-08-2024 17:24:08,22-08-2024 17:24:31,22.508s,PASSED
takeFullPageScreenshot(),Chrome 127.0.0.0,,,22-08-2024 17:24:31,22-08-2024 17:24:32,1.155s,PASSED
"setText(findTestObject(""hitungHarga/pengeluaran""), pengeluaran)",Chrome 127.0.0.0,,,22-08-2024 17:24:32,22-08-2024 17:24:34,1.988s,PASSED
takeFullPageScreenshot(),Chrome 127.0.0.0,,,22-08-2024 17:24:34,22-08-2024 17:24:35,1.052s,PASSED
"selectOptionByValue(findTestObject(""hitungHarga/jangkaWaktu""), tahun, false)",Chrome 127.0.0.0,,,22-08-2024 17:24:35,22-08-2024 17:24:36,0.928s,PASSED
"value = getAttribute(findTestObject(""hitungHarga/selectJangkaWaktu""), ""tahun"")",Chrome 127.0.0.0,,,22-08-2024 17:24:36,22-08-2024 17:24:36,0.368s,PASSED
bulanInt = Integer.valueOf(tahun),Chrome 127.0.0.0,,,22-08-2024 17:24:36,22-08-2024 17:24:36,0.001s,PASSED
pengeluaranInt = Integer.valueOf(pengeluaran),Chrome 127.0.0.0,,,22-08-2024 17:24:36,22-08-2024 17:24:36,0.001s,PASSED
penghasilanInt = Integer.valueOf(penghasilan),Chrome 127.0.0.0,,,22-08-2024 17:24:36,22-08-2024 17:24:36,0.001s,PASSED
if (penghasilanInt <= pengeluaranInt),Chrome 127.0.0.0,,,22-08-2024 17:24:36,22-08-2024 17:24:37,0.336s,PASSED
println(hitung),Chrome 127.0.0.0,,,22-08-2024 17:24:37,22-08-2024 17:24:37,0.001s,PASSED
"scrollToElement(findTestObject(""hitungHarga/pengeluaran""), 0)",Chrome 127.0.0.0,,,22-08-2024 17:24:37,22-08-2024 17:24:37,0.379s,PASSED
"verifyElementClickable(findTestObject(""hitungHarga/buttonHitung""))",Chrome 127.0.0.0,,,22-08-2024 17:24:37,22-08-2024 17:24:38,0.680s,FAILED
,,,,,,,
Test Cases/hitungProperti,Chrome 127.0.0.0,,,22-08-2024 17:24:38,22-08-2024 17:25:14,36.241s,PASSED
"openBrowser(""https://www.btnproperti.co.id/tools/hitung-harga-properti"")",Chrome 127.0.0.0,,,22-08-2024 17:24:38,22-08-2024 17:24:43,4.959s,PASSED
maximizeWindow(),Chrome 127.0.0.0,,,22-08-2024 17:24:43,22-08-2024 17:24:43,0.112s,PASSED
"setText(findTestObject(""hitungHarga/penghasilanTotal""), penghasilan)",Chrome 127.0.0.0,,,22-08-2024 17:24:43,22-08-2024 17:25:05,22.381s,PASSED
takeFullPageScreenshot(),Chrome 127.0.0.0,,,22-08-2024 17:25:05,22-08-2024 17:25:07,1.288s,PASSED
"setText(findTestObject(""hitungHarga/pengeluaran""), pengeluaran)",Chrome 127.0.0.0,,,22-08-2024 17:25:07,22-08-2024 17:25:08,1.821s,PASSED
takeFullPageScreenshot(),Chrome 127.0.0.0,,,22-08-2024 17:25:08,22-08-2024 17:25:09,0.955s,PASSED
"selectOptionByValue(findTestObject(""hitungHarga/jangkaWaktu""), tahun, false)",Chrome 127.0.0.0,,,22-08-2024 17:25:09,22-08-2024 17:25:11,1.171s,PASSED
"value = getAttribute(findTestObject(""hitungHarga/selectJangkaWaktu""), ""tahun"")",Chrome 127.0.0.0,,,22-08-2024 17:25:11,22-08-2024 17:25:11,0.439s,PASSED
bulanInt = Integer.valueOf(tahun),Chrome 127.0.0.0,,,22-08-2024 17:25:11,22-08-2024 17:25:11,0.002s,PASSED
pengeluaranInt = Integer.valueOf(pengeluaran),Chrome 127.0.0.0,,,22-08-2024 17:25:11,22-08-2024 17:25:11,0.001s,PASSED
penghasilanInt = Integer.valueOf(penghasilan),Chrome 127.0.0.0,,,22-08-2024 17:25:11,22-08-2024 17:25:11,0.001s,PASSED
if (penghasilanInt <= pengeluaranInt),Chrome 127.0.0.0,,,22-08-2024 17:25:11,22-08-2024 17:25:11,0.003s,PASSED
else,Chrome 127.0.0.0,,,22-08-2024 17:25:11,22-08-2024 17:25:11,0.007s,PASSED
println(hitung),Chrome 127.0.0.0,,,22-08-2024 17:25:11,22-08-2024 17:25:11,0.003s,PASSED
"scrollToElement(findTestObject(""hitungHarga/pengeluaran""), 0)",Chrome 127.0.0.0,,,22-08-2024 17:25:11,22-08-2024 17:25:11,0.322s,PASSED
"verifyElementClickable(findTestObject(""hitungHarga/buttonHitung""))",Chrome 127.0.0.0,,,22-08-2024 17:25:11,22-08-2024 17:25:12,0.299s,PASSED
"click(findTestObject(""hitungHarga/buttonHitung""))",Chrome 127.0.0.0,,,22-08-2024 17:25:12,22-08-2024 17:25:12,0.395s,PASSED
takeFullPageScreenshot(),Chrome 127.0.0.0,,,22-08-2024 17:25:12,22-08-2024 17:25:13,0.938s,PASSED
"harga = getText(findTestObject(""hitungHarga/harga""))",Chrome 127.0.0.0,,,22-08-2024 17:25:13,22-08-2024 17:25:14,0.752s,PASSED
"harga = replace(""Rp "", """").replace(""."", """")",Chrome 127.0.0.0,,,22-08-2024 17:25:14,22-08-2024 17:25:14,0.000s,PASSED
hargaInt = Integer.valueOf(harga),Chrome 127.0.0.0,,,22-08-2024 17:25:14,22-08-2024 17:25:14,0.000s,PASSED
println(hargaInt),Chrome 127.0.0.0,,,22-08-2024 17:25:14,22-08-2024 17:25:14,0.001s,PASSED
assert hitung == hargaInt,Chrome 127.0.0.0,,,22-08-2024 17:25:14,22-08-2024 17:25:14,0.001s,PASSED
closeBrowser(),Chrome 127.0.0.0,,,22-08-2024 17:25:14,22-08-2024 17:25:14,0.326s,PASSED
,,,,,,,
Test Cases/hitungProperti,Chrome 127.0.0.0,,,22-08-2024 17:25:14,22-08-2024 17:25:50,35.521s,FAILED
"openBrowser(""https://www.btnproperti.co.id/tools/hitung-harga-properti"")",Chrome 127.0.0.0,,,22-08-2024 17:25:14,22-08-2024 17:25:18,4.181s,PASSED
maximizeWindow(),Chrome 127.0.0.0,,,22-08-2024 17:25:18,22-08-2024 17:25:18,0.141s,PASSED
